Successful,Title,CampaignStory
1,Elisha and Tiffany's Charity Bake #SeasonOfGiving,"This campaign has been created on behalf of Elisha and Tiffany, Friends of Canossaville.

--
Hi we are Elisha and Tiffany, friends and students from United World College Singapore. We are coming together to do our part for charity this Season of Giving to raise awareness and funds for our chosen charity, Canossaville Children and Community Services (Canossaville).

Founded 80 years ago, Canossaville serves children and those with hearing loss across the preschool and primary ages. From a young age, we were taught to respect everyone and contribute to the well-being of our community. Therefore, when we heard about Canossaville, we saw a wonderful opportunity to help. We can support these children, some of whom may face additional challenges from a young age due to their additional needs or disadvantaged family backgrounds.

Christmas is the one time of the year where everyone comes together as one. To thank family and friends for supporting Canossaville, we will be baking some delicious cookies.

On that note, we thank you for supporting our campaign and your kindness fills the hearts of the children and their families under the care of Canossaville.

Please do share this campaign with your friends or family.

To find out more, visit their website: https://canossaville.org.sg/

--
This is part of Canossaville's Season of Giving campaign and will be eligible for dollar matching by the Singapore Government and Tote Board up to cap of $250,000 per charity.All donations to the Season of Giving campaign shall be eligible for dollar matching by the Singapore Government and Tote Board up to cap of $250,000 per charity.

Every year, we all look forward to a special occasion. For some it could be a birthday, for others, a festive season such as Christmas. While we all celebrate these special occasions in our own ways, many also choose to give and share with others who need a little bit more help.

At Canossaville Children and Community Services, our programmes and services are open to our children and their families all year round, with priority given to those from disadvantaged backgrounds. Education is at the core of what we do and our Canossian Circle of Care provides the supporting structure to children through a preschool, after-school care as well as a child development unit.

This can only be made possible with the support of donors like yourself. We advocate for sustainable giving all year round to support all our programmes and services. In reality, donors tend to only donate at the end of the year during the season of giving.

We acknowledge this and humbly seek your kind support for us to build up enough donations to sustain our programmes and services through the year.

Thank you for not forgetting us during this season of giving. Your special thoughts warm the hearts of our children and their families under our care.

#SGCares #GivingWeekSG #CityOfGood"
1,Safe4Now - End suicides - #GivingWeekSG #GreatSingaporeGive,"Dun let them leave the world with regrets. Let's keep them Safe4Now

Every life is precious especially those who have yet to savor their time on this earth. 

CARE employs a data driven approach to identifying young persons with self harm ideation so that THE THOUGHT can be squashed before it even takes form.

Let's not regret inaction. Take charge now and make a difference in making sure someone LIVES."
1,4 Million Steps for Lakeside Family Center,"Lakeside Family Services launched its first A MILLION STEPS fundraising campaign in 2020, targeting to reach 1 million steps together to raise funds for our programs serving (ex-)inmates and their families.

This year, a group of us from COUPA SOFTWARE have signed up for the fundraising campaign by doing an overnight walking from Lakeside and ending the whopping 40Km journey at Changi the following day. The Walk will take about 10 hours to complete.

Besides raising awareness of the extraordinary work Lakeside Family Service and volunteers have done. We like to raise funds to support various programs run by Lakeside Family Service that have benefited many former inmates and their families who need support, love, and healing during their rehabilitation.

Thank you and God BlessLakeside Family Services launched its first #AMillionSteps fundraising campaign in 2020, targeting to reach 1 million steps together to raise funds for our programmes serving (ex-)inmates and their families.

This year, we hope to continue supporting them in their journey to reintegration. Together with all our staff, volunteers and friends of Lakeside, we are committed to pledge 1,000 steps for each of the 4,000 (ex-)inmates we work with.

In the spirit of going the distance together, our campaign this year is titled 4ward Together 4 Million Steps. Together with all our staff, volunteers and friends of Lakeside, we hope to walk 4 Million Steps and raise $300,000.

Lakeside provides a wide range of services, including:

1. Family Resource Centre, a one-stop centre for inmates and their families

2. Case Management Support for inmates on the Work Release Scheme

3. Life skills workshops through our Release Preparation Programme

4. Televisit services for families to visit their loved ones in prison through our teleconferencing facility

5. Holistic programmes for financial assistance, family bonding, and casework support after release

Clock your steps with us and invite your friends and family to support your walk! For more info, visit https://www.lakeside.org.sg/support-us/4-million-steps/"
1,Give Madam Ng The Chance To See Her Grandchildren,"Give Mdm Ng the chance to live and see her grandchildren Mdm Ng left her home from Malaysia to work in Singapore in the retail sector, she's 51 this year. Her son, who also works i..."
1,"Love, Hope & Charity for Joanne & Esmond",Meet Joanne - the lady of the house who hadn’t been able to get a job because of her heart condition so she now tries to make a small living by selling home-baked cookies (her sign...
1,Please help baby Diwa and mommy Laarni,"""We're knocking on your kind hearts"" My wife was just 6 months pregnant when she felt a severe tummy pain, I rushed her to KK women's and children hospital just to have a checkup, ..."
1,Raising Funds to Deliver Meals to the Less Fortunate,"What this fundraiser is about... As a result of the COVID-19 pandemic, many have been left feeling the disastrous economic impacts and certainly, the less fortunate would feel the ..."
1,Crochet with love- Support the Children's Cancer Foundation!,"I am a 10-year-old student who loves crocheting. I would like to use my interest to help raise funds for the Children's Cancer Foundation. 

With each donation above $20, you will receive a little hand-made crochet 'egg' as a token of appreciation. After the donation is made, kindly leave your contact details via the Google form https://forms.gle/VfW1K1FCejHo2FVt8 so that we can mail the gift to you. 

With thanks! - Natalie"
1,Give Lok Wai Khuen A Chance To Recover,"Help Lok To Pay For His Medical Bills to fight His Rectum Cancer I am helping my colleague to raise fund for his medical bills.

Lok is from Malaysia and holding on to a work-permi..."
1,SG TS team takes on 100km for Singapore Cancer Society,"Dear Friends, Thank you for visiting our fundraising page! We hope you will support our cause by making a generous donation which will go directly to Singapore Cancer Society. Your..."
1,Help Baby Tue Minh Save His Remaining Eye,"Baby Tue Minh is a lovable 3 year old boy, but was born with cataract for both his eyes.

When he was in Vietnam, he had gone through 4 operations to treat the cataract on both eye..."
1,Please help my Wife fight Cervical Cancer,"“For better, for worse, for richer, for poorer, in sickness and in health, to love and to cherish” This is the vow which I took on when I married my wife, Nel. My name is Henry, an..."
1,Let Madam Lee keeps her smile,"We are not asking for much, we just want our mother to be able to receive treatment without having to worry whether her children are able to make the end's need. An old single moth..."
1,UNHEARD FOR DOT: An Online Charity Concert,Donate now to support underprivileged women in Singapore in these challenging times so they can provide for themselves and their families. UNHEARD: An Online Charity Concert is sch...
1,Sponsor an Iftar Meal for a Targeted 4000 Families this Ramadhan,"Muslim Converts’ Association of Singapore (MCAS) also known as Darul Arqam Singapore is a non-profit charitable organization. We have helped improved more than 5,000 families from ..."
1,Provide food for Kuma families through Covid-19,"The spread of COVID-19 has affected Cambodia and Kuma, just like the rest of the world. 

The government ordered all schools in Cambodia to close on 16 March and Kuma immediately f..."
1,Help our Baby overcome Prematurity!,"Both my husband and I are residing and working in Singapore for the past 10 years. 
Our intention was to go back to India, our home country to give birth when I found out I was pre..."
1,Dare Month / 2020,"Thank you for donating during Dare Month! Please enter your name and the name of the person who completed the dare in the donation form to donate your pledged amount!

Donating is ..."
1,"Singapore Prison Service (SPS), ComC Cares!","The origins of Singapore's penal system may be traced back to the arrival of the first batch of convicts in 1825. However, SPS was formally established as a government agency only in 1946. SPS celebrates 'SPS75' this year, commemorating 75 years since its inception. SPS has since progressed to be a leading correctional agency in the safe and secure custody, and rehabilitation of inmates. To commemorate its 75th anniversary, SPS is raising $75,000 from its Captains of Lives for the President's Challenge 2021: 

a. Cluster A: $18,200
b. Cluster B: $16,500
c. Cluster C: $9,300
d. Community Supervision Centre (ComC): $6,700
e. Operations & Security Command (OSC): $4,100
f. Prison Headquarters (PHQ): $20,200

There is much to celebrate but we want to instill a sense of pride amongst staff and demonstrate that SPS cares about those in need. Indeed, care is one of our core values! We urge all staff to contribute towards this meaningful cause.

SPS Cares - $75K for 75 Years! Let's do it!"
1,Credit Suisse x Children's Aid Society - Standard Chartered Singapore Marathon (SCSM) 2018.,About the campaign Children's Aid Society is proud to be partnering Credit Suisse Singapore for the upcoming SCSM 2018 (8 & 9 Dec 2018). This campaign will see employees of Credit ...
1,Help Julie Recover From Multiple Organs Failure,"Help Julie Ann Ubaldo Lucero to Recover from Multiple Organs Failure due to Severe Blood Poisoning Thank you for taking time to read this. Our new Filipino domestic helper, Ms Juli..."
1,Evelyn's Support for Children's Cancer Foundation,"Hi, my name is Evelyn I’m 10, I was born in Singapore but my family is Australian. Though I am a permanent resident in Singapore. I have 3 people in my family my dad, my mum, and m..."
1,Help Hilda raise money for Singapore Cancer Society,Thank you for visiting my fundraising page! I hope you will support me in my cause by making a donation. I've missed the opportunity to organise a team for the 100Km relay - I was ...
1,Red Cross Youth - Greendale Secondary School,"Dear Friends

We are from Greendale Secondary School Red Cross Youth. We are raising funds for the Singapore Red Cross. We want to support the mission of the Singapore Red Cross – ..."
1,Help Wang Ying Fight Uterus Cancer,Wang Ying had been working for a kindergarten in Singapore for the last 10 years under Work Permit where she cooks delicious meals for the children. She is 55 years-old this year. ...
1,Help Pawan pay for her serious medical condition,"Pawanjeet needs your heartfelt financial support and best wishes Background

Pawanjeet Kaur is a domestic helper who has only been in Singapore for two months and has to be hospita..."
1,Help Carmen With Her Colon Cancer,"Please help “Nanay Carmen” in her battle against Colon Cancer. Nanay Carmen is a loving grandma who came to Singapore to be with her grandkids.

She is not a local resident nor a P..."
1,Please Help My Husband Sham,"My loving husband and wonderful father to our 3 young kids, Sham Laser, suffered a devastating stroke last week. He had a slight fall on Wednesday and rested at home on Thursday. I..."
1,Help me put the smile back on my life partner's face,"Here we are in 2019, and the rain is getting heavier. More than ever, Serene and I need your help to keep going on. Despite the best efforts of her care team and myself, her epilep..."
1,Help A Single Mother With 3 Children,"Madam Hafsah lives in a 1 room rental flat with her 3 children, aged 2, 3 and 10. Her husband left her 9 years ago, without a trace, and without any monetary support. Up until now,..."
1,"Migrant Matters x The Social Co.: 3,200 Care Packages","Migrant Matters and The Social Co. are coming together to prepare 3,200 care packages for our migrant worker friends! We are corresponding directly with the different government ag..."
1,Hampers for Low-Income Families #AIWFC x #GreatSingaporeGive,"Bless 45 families with a Christmas Hamper!

This Christmas, we would like to give practical care items to those in need. We will be distributing either CARE or HAPPY PACK hampers to 45 families based on their needs.

Each CARE PACK hamper consists of: Hand soap, toothpaste, toothbrush, hand towel, hand cream, mask, wet wipes, Danish cookies and Milo.

Each HAPPY PACK hamper consists of: Canned food items, biscuits, tea, rice, noodles, sugar, cooking oil, Danish cookies, chips, ramen and coffee.

Bless a home this Christmas and bring love and joy to a family!

Should there be any unused funds left after purchasing all the hampers, funds will be channelled to Bethesda Care Services programmes and services so that we can continue to serve our beneficiaries, the low-income families, youths, children and seniors."
1,Help Premature Baby Hridhaan,"Help Our Premature Baby - Hridhaan Dear Givers, my name is Sanket and we are a family of three- Me, my wife Sonal, and our newborn baby Hridhaan. We've been in Singapore for many y..."
1,Help us feed families in Bali!,"UPDATE 3:00 PM We are incredibly touched by your response!

Thanks to your overwhelming support, we have now surpassed our third goal. We are increasing our target to SGD 10,000 so..."
1,Salvation Army Christmas Kettling 2021,"In view of the upcoming Christmas season, Fusion Health Care Technology Singapore Pte Ltd, would like to spread love, joy, and care to the vulnerable communities in Singapore. We are collaborating with The Salvation Army and will be involved in their signature event, Christmas Kettling 2021, to bring joy to the underprivileged and to provide support to those who are facing hardships.

Every dollar counts and will help to transform lives, please kindly donate generously. Your donations will help to: 

1) Protect vulnerable children and youth
2) Extend help to struggling families
3) Provide nursing care to frail elderly
4) Help broken families
5) Care for isolated migrant workers

Thank you for making a difference in the lives of those who are struggling during these challenging times."
1,Give Baby Cuong A Second Chance To See,"Baby Cuong, is 15 months old, came to Singapore a year ago to treat his eye, and during the time, both his eyes had gone through cornea transplant. The parents took loan in order f..."
1,Help Baby Jkhiel For His Surgery,"Baby Jkhiel was born into this world via cesarean birth on 29 April 2021 due to his transverse position. He was  positioned horizontally across the uterus, rather than vertically, ..."
1,Give Hope To Kitty,"3 year-old Vietnamese girl named Nguyen Truc Anh also known as Kitty, is a pediatric patient currently at Singapore National University Hospital, who has just been diagnosed with H..."
1,BAG-to-School 2022 for Children in Collaboration with Soulrich Foundation,"The beginning of a new year is usually an exciting time for students as they embark on a new school year. However, for children whose family can barely afford the necessities, a new school term signifies a period of stress and anxiety. The cost of textbooks, stationaries and school attire could add further strain to the families' expenses.

8-year-old Mark's father was incarcerated for drug related offences. His mother was previously a home maker who looked after Mark and his sister full-time. Due to her spouse imprisonment, she had to take up a job at the nearby supermarket working long shifts as the sole bread winner for the family of 3. The family can barely make ends meet and can only afford the necessities. Mark's confidence and self-esteem is affected as he has to borrow stationaries from his classmates at times and had to put on worn out shoes.

Yellow Ribbon Fund together with Soulrich Foundation is seeking support to help fund Back-to-School packs for children like Mark. These packs would include a new school bag, a water bottle and vouchers to make purchase for socks/shoes. Though these are basic items to many, this practical year end gift would mean a lot to our beneficiaries' children. This small boost of confidence would encourage them in the upcoming school year.

Your donation regardless of amount will make a huge difference in the lives of the children we care about. We hope to count on your support to uplift lives of people around us!"
1,Help me Fight Metastatic Ewing's Sarcoma & Infected Megaprosthesis,Please Help Me Fight Metastatic Ewing's Sarcoma & Infected Megaprosthesis I have been battling with metastatic ewing's sarcoma (a rare type of bone cancer) since 2010 in Singapore ...
1,Save Baby Vy's eyes,"Edited 21 May 2019: I am trying to get at least 1,000 people to donate $10 to help pay for this baby's eye surgery. He is already in Singapore and is scheduled for the first operat..."
1,A Special Christmas for Children,A campaign initiated to raise fund for a special group of children whom deserve nothing less than any child in Singapore.
1,100km on 7/11 charity bike ride to support SG migrant workers,"Hey guys, on 7.11.2020 (Sat 11th July), we will be cycling 100km around SGP coastline with a few friends to raise $5000 for our migrant worker friends whose lives have been hardest..."
1,Crafts & Baking for Children In Need,"Hi my name is Zoe. I am 9 years old. I admire the work that Club Rainbow does to help the community.
To help support this cause, I have set myself a goal to raise $3000 by the end of this year. I will be making some cookies as well as arts and crafts for the people who donate.
I will be donating all the money I have collected to Club Rainbow to support them in their mission of helping low income families and children with chronic illnesses. These donations will be used to pay for the children's weekly therapy services and offer financial assistance for their families.

Funds raised will be channeled Club Rainbow's online fundraising campaign ""Support vulnerable children and their families during the pandemic #SGUNITED"", so that it is eligible for a 40% matching grant from toteboard."
1,Give a Breast Cancer patient a new life,"Appreciate if you could help, to give me a new life as a 3rd stage breast cancer patient My name is Lee Siew Yong and I’m a PR from Malaysia since 1997.

I’ve been working in a sma..."
1,Help My Premature Baby Ayana,"Help My Very Premature Daughter in NICU Hello, I am Nikheel. We are a family of three - Me, My Wife (Himani), and my Daughter (7 Yr). Recently we are blessed with our newborn baby ..."
1,Solidarity Gift for SG Livelihoods Fund by Pamela Choo #WeGiveInSolidarity,"Dear friends and family,
 
We are going through unprecedented times. COVID-19 is resulting in a period of anxiety and stress for many. While social distancing and circuit breaker m..."
1,Help Miss Hong For Her Throat Cancer,"Miss Hong, is 35 years old this year, and a proud mother of 2 children, until 2 years ago when she was diagnosed with throat cancer. The first stop was to seek treatment in her hom..."
1,Dan Yock Young runs for St Luke's Hospital,"Dan is currently Head of Medicine at National University Hospital. Overseeing the medical care of patients in the system, he understands the importance if not critical role of comm..."
1,"2019 Rain or Shine, Sheryn, Jovahn and Tiong Beng Cycle for MS","Hi there! We are Sheryn, Jovahn and Tiong Beng, and we are Multiple Sclerosis (MS) Cycle Ambassadors. Together with other MS Cycle Ambassadors, we embarked on a 23km cycle from Mar..."
1,Please Help My Dad,"5 years ago, my dad was diagnosed with this uncommon form of cancer, ET aka Essential Thrombocytosis. Unfortunately, we were informed that this is a rare disorder in which the body..."
1,Women in Red - Fundraise for Good this Christmas #WomenInRed,"A fundraise to create awareness and help unfortunates to have a better life, a little help from everyone can change their life for Christmas this year! #WomenInRedThe Singapore Red Cross invites all women to support the Singapore Red Cross. #WomeninRed in your socials so we get to see you!

Leveraging your professional networks and communities of influence, let's fundraise for our homegrown humanitarian organisation in your own way, to uplift the most vulnerable and make the community more resilient.

Your efforts will benefit the isolated elderly, persons with severe disabilities and low-income families who rely on the essential services that the Red Cross delivers in our little red dot.

Your gift this festive season will make a powerful difference in our beneficiaries' lives. It will also greatly help us in sustaining the resources needed to provide activities and continue doing what we do for our beneficiaries.

2021 is the Year of Celebrating SG Women. As the year draws to a close, unleash the superheroine in you, in support of humanitarian causes.

Pick up a challenge in honour of your mum, girlfriend, or even yourself! Or if challenges are not your thing, we welcome you to support a fellow #WomeninRed by making a donation in her name

Psst, Not forgetting, we invite all Hubbies, Brothers, Sons, Boyfriends and Fathers, Grandfathers and Colleagues who know of and are grateful for strong women in their lives to make a contribution in their name to appreciate the Wonder Women that they are. Thank you!"
1,Give Premature Baby Avery A Chance,"Help our Pre-term Baby Avery with her Medical Bills Baby Avery came into this world at just 30 weeks and 5 days, and delivered in an emergency Caesarian operation.

My name is Alun..."
1,Raising funds for Physically & Mentally Disabled,Thank you for visiting my fundraising page! I hope you will support the in my cause by making a donation. Donating is really simple and secure. The money will go straight to Singap...
1,Help Ta ka chia group raise money for Ride for Ration,"Thank you for visiting our fundraising page! I hope you will support us Ta Ka Chia Group-((Amanda Chong,Sabrina Bahari,Kassim Hussein,Siva Balan,Chris Hortin,Marc Chiang, Wawan Set..."
1,Give Raenelle A New Lease Of Life,"Help 1 Year Old Raenelle with End Stage Liver Disease. My name is Vicky and i am helping Our daughter Raenelle Wong to raise funds for her treatments and surgeries. 

Our Daughter ..."
1,Give Madam Rai Hope,"Help Madam Rai Madam Rai came to Singapore 10 years ago and married her husband, till to date, she is still holding a long term visit pass, and had been unsuccessful in applying fo..."
1,Let's Do Good Feel Good this Christmas!,"Food - a basic human need. One might be surprised to learn that hunger still exists in a food paradise and wealthy city-state like Singapore. The situation is worsened by COVID-19, which has hit the disadvantaged the hardest, typically the lowest earners in precarious jobs with no social safety-net protection.

According to a study done by the Singapore Management University's Lien Centre for Social Innovation, one in ten Singaporeans experienced food insecurity at least once over 12 months. Out of this, two in five experienced food insecurity at least once a month.

This is APAC Life, an employee-led group within NatWest Markets APAC and we'd like to invite you to give to The Food Bank Singapore.

Your donation can help more than 100,000 families and over 300,000 people with all kinds of food; from fresh to cooked.

Let's put a smile back on their faces this Christmas by supporting this worthy cause. Do share this fundraising page with your friends and family and thank you very much for your help!"
1,"Help for Bibby, a special cat in a crappy situation.","We are raising funds for Bibby, a cat we found injured after a road accident. THE STORY On Sunday, July 29, while on the way for a swim to celebrate our baby’s 6th month birthday, ..."
1,Help Paul & Carla build 2 houses in Nepal!,"Thanks for finding our fundraising page!! We are Paul Foster and Carla Dunareanu, the Habitat For Humanity Singapore Ambassadors! We’ve got a really exciting and BIG home building ..."
1,Ambulance Transport Services for Needy Residents,"Sometimes life can bring about a host of challenges all at once. Some of our low-income residents for example, not only suffer from chronic health problems, but they also require a..."
1,"Ride 1000km, a Dollar for a Km for Ride for Ration 2020","A Dollar for a KM. Team RfR1K will ride 1000Km each, target to raise a thousand each for those in need. For every dollar raised above the target, we will match it up with a KM for ..."
1,COVID-19 Response,"2019 Novel Coronavirus - Singapore Red Cross to launch public appeal to support affected and at-risk communities (Dear Friend, please note that donations to overseas efforts are no..."
